Year,County,Total:_x,    American Indian and Alaska Native alone,    Asian alone,    Black or African American alone,    Native Hawaiian and Other Pacific Islander alone,    Some Other Race alone,    Some other race alone,    Two or More Races:,    Two or more races:,    White alone,"        Two races excluding Some Other Race, and three or more races","        Two races excluding Some other race, and three or more races",        Two races including Some Other Race,        Two races including Some other race,Total:_y,    Hispanic or Latino,    Not Hispanic or Latino
2016,Gloucester County,"292,330",215,"8,955","29,805",0,,"6,186",,"9,519","237,650",,"6,453",,"3,066","292,330","17,607","274,723"
2016,Hudson County,"677,983","2,484","102,554","81,508",752,,"96,113",,"26,661","367,911",,"15,631",,"11,030","677,983","292,718","385,265"
2016,Hunterdon County,"124,676",19,"4,757","3,498",73,,"1,238",,"1,855","113,236",,"1,064",,791,"124,676","7,948","116,728"
2016,Mercer County,"371,023",493,"40,864","78,453",597,,"4,213",,"7,496","238,907",,"6,563",,933,"371,023","63,400","307,623"
2016,Middlesex County,"837,073","2,096","203,045","83,900",297,,"35,789",,"21,624","490,322",,"14,095",,"7,529","837,073","173,618","663,455"
2016,Monmouth County,"625,846",966,"35,774","45,430",30,,"18,484",,"10,473","514,689",,"8,630",,"1,843","625,846","67,593","558,253"
2016,Morris County,"498,423",139,"53,056","15,796",0,,"17,716",,"9,684","402,032",,"8,046",,"1,638","498,423","66,155","432,268"
2016,New Jersey!!Estimate,"8,944,469","20,185","854,181","1,194,585","3,754",,"543,530",,"237,326","6,090,908",,"180,050",,"57,276","8,944,469","1,786,669","7,157,800"
2016,Ocean County,"592,497",400,"11,908","17,336",664,,"17,161",,"8,363","536,665",,"7,201",,"1,162","592,497","54,153","538,344"
2016,Passaic County,"507,945","1,643","26,481","57,390",180,,"74,754",,"13,812","333,685",,"10,368",,"3,444","507,945","208,850","299,095"
2016,Salem County,"63,436",162,774,"8,147",0,,"1,966",,"2,084","50,303",,"1,838",,246,"63,436","5,356","58,080"
2016,Somerset County,"333,751","1,718","57,437","32,448",47,,"10,493",,"7,282","224,326",,"5,623",,"1,659","333,751","48,740","285,011"
2016,Sussex County,"142,522",0,"3,229","2,904",0,,"1,717",,"2,211","132,461",,"2,115",,96,"142,522","11,093","131,429"
2016,Union County,"555,630","2,210","27,892","114,911",0,,"89,983",,"16,030","304,604",,"10,584",,"5,446","555,630","173,726","381,904"
2016,Warren County,"106,617",117,"2,825","4,981",0,,"2,019",,"1,638","95,037",,"1,477",,161,"106,617","9,405","97,212"
2017,Atlantic County,"269,918","1,934","23,250","38,933",125,,"22,087",,"9,135","174,454",,"7,183",,"1,952","269,918","51,340","218,578"
2017,Bergen County,"948,406","1,325","161,307","57,359",744,,"21,817",,"24,179","681,675",,"20,150",,"4,029","948,406","189,053","759,353"
2017,Burlington County,"448,596",151,"22,557","78,368",304,,"6,606",,"16,234","324,376",,"15,120",,"1,114","448,596","36,283","412,313"
2017,Camden County,"510,719","1,394","29,625","96,908",622,,"34,974",,"16,850","330,346",,"13,985",,"2,865","510,719","86,782","423,937"
2017,Cape May County,"93,553",41,654,"4,270",0,,842,,"1,825","85,921",,"1,620",,205,"93,553","7,325","86,228"
2017,Cumberland County,"152,538","1,569","2,386","31,131",199,,"6,103",,"3,700","107,450",,"2,888",,812,"152,538","46,911","105,627"
2017,Essex County,"808,285",775,"44,333","321,415",506,,"76,091",,"19,295","345,870",,"14,782",,"4,513","808,285","187,730","620,555"
2017,Gloucester County,"292,206",125,"9,036","30,397",116,,"6,267",,"7,860","238,405",,"5,626",,"2,234","292,206","18,132","274,074"
2017,Hudson County,"691,643","2,660","108,481","80,772",70,,"97,592",,"26,703","375,365",,"16,997",,"9,706","691,643","298,373","393,270"
2017,Hunterdon County,"125,059",109,"5,235","3,175",0,,"1,179",,"1,776","113,585",,"1,730",,46,"125,059","8,282","116,777"
2017,Mercer County,"374,733",117,"41,449","78,243",94,,"7,460",,"10,072","237,298",,"8,305",,"1,767","374,733","66,663","308,070"
2017,Middlesex County,"842,798","1,857","211,307","87,425",154,,"34,796",,"23,379","483,880",,"14,972",,"8,407","842,798","178,504","664,294"
2017,Monmouth County,"626,351","1,312","35,766","43,140",0,,"18,106",,"13,132","514,895",,"11,065",,"2,067","626,351","68,918","557,433"
2017,Morris County,"499,693","1,433","53,060","17,476",110,,"10,271",,"10,696","406,647",,"8,653",,"2,043","499,693","68,153","431,540"
2017,New Jersey!!Estimate,"9,005,644","17,843","886,261","1,217,572","3,771",,"538,371",,"229,588","6,112,238",,"176,737",,"52,851","9,005,644","1,840,433","7,165,211"
2017,Ocean County,"597,943",360,"12,338","18,755",112,,"16,287",,"8,948","541,143",,"7,616",,"1,332","597,943","55,966","541,977"
2017,Passaic County,"512,607",746,"27,549","56,046",64,,"80,677",,"10,778","336,747",,"7,082",,"3,696","512,607","214,611","297,996"
2017,Salem County,"62,792",362,420,"8,812",0,,"1,005",,"1,436","50,757",,"1,245",,191,"62,792","5,664","57,128"
2017,Somerset County,"335,432",290,"62,387","32,683",119,,"5,727",,"6,112","228,114",,"5,235",,877,"335,432","49,634","285,798"
2017,Sussex County,"141,682",143,"3,603","3,756",0,,"2,885",,"1,492","129,803",,"1,191",,301,"141,682","11,587","130,095"
2017,Union County,"563,892","1,140","28,984","123,985",432,,"86,031",,"12,327","310,993",,"7,977",,"4,350","563,892","180,334","383,558"
2017,Warren County,"106,798",0,"2,534","4,523",0,,"1,568",,"3,659","94,514",,"3,315",,344,"106,798","10,188","96,610"
2018,Atlantic County,"265,429",557,"21,421","37,050",255,,"22,107",,"10,630","173,409",,"9,890",,740,"265,429","51,019","214,410"
2018,Bergen County,"936,692","2,941","155,916","55,416",235,,"28,553",,"28,048","665,583",,"21,579",,"6,469","936,692","192,760","743,932"
2018,Burlington County,"445,384",347,"20,861","76,289",603,,"12,067",,"17,606","317,611",,"15,823",,"1,783","445,384","37,100","408,284"
2018,Camden County,"507,078",609,"30,542","102,304",63,,"45,598",,"16,122","311,840",,"11,189",,"4,933","507,078","87,433","419,645"
2018,Cape May County,"92,560",16,"1,088","3,564",0,,"2,692",,"3,187","82,013",,"2,821",,366,"92,560","7,300","85,260"
2018,Cumberland County,"150,972",793,"2,659","29,550",0,,"14,501",,"5,127","98,342",,"4,573",,554,"150,972","47,426","103,546"
2018,Essex County,"799,767","1,076","44,447","318,855",301,,"88,300",,"19,012","327,776",,"14,886",,"4,126","799,767","188,318","611,449"
2018,Gloucester County,"291,408",508,"9,763","29,877",0,,"4,510",,"8,047","238,703",,"5,834",,"2,213","291,408","18,639","272,769"
2018,Hudson County,"676,061","3,008","108,472","82,145",0,,"96,067",,"26,670","359,699",,"18,798",,"7,872","676,061","290,058","386,003"
2018,Hunterdon County,"124,714",0,"5,446","3,680",126,,393,,"2,299","112,770",,"2,289",,10,"124,714","8,506","116,208"
2018,Mercer County,"369,811",630,"41,990","75,902",111,,"16,414",,"7,793","226,971",,"6,118",,"1,675","369,811","67,082","302,729"
2018,Middlesex County,"829,685","2,911","202,159","84,157",616,,"44,799",,"26,577","468,466",,"18,104",,"8,473","829,685","179,145","650,540"
2018,Monmouth County,"621,354",495,"34,085","46,143",92,,"8,781",,"12,393","519,365",,"10,197",,"2,196","621,354","68,677","552,677"
2018,Morris County,"494,228",833,"51,943","17,669",140,,"7,460",,"12,285","403,898",,"9,952",,"2,333","494,228","67,765","426,463"
2018,New Jersey!!Estimate,"8,908,520","21,131","868,213","1,207,995","2,909",,"604,334",,"247,399","5,956,539",,"193,378",,"54,021","8,908,520","1,839,359","7,069,161"
2018,Ocean County,"601,651",827,"11,806","19,746",0,,"13,320",,"9,971","545,981",,"8,934",,"1,037","601,651","56,862","544,789"
2018,Passaic County,"503,310",754,"27,104","56,572",301,,"92,278",,"12,019","314,282",,"9,458",,"2,561","503,310","212,823","290,487"
2018,Salem County,"62,607",346,450,"9,394",0,,"1,832",,973,"49,612",,819,,154,"62,607","5,938","56,669"
